cve_id,drift_score,cvss_variance,nvd_score,nvd_cvss_version,github_score,github_cvss_version,assigning_cna,nvd_status
CVE-2025-47735,7.3,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed
CVE-2025-47737,7.3,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed
CVE-2025-48751,7.3,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed
CVE-2025-48752,7.3,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed
CVE-2025-48756,7.3,6.9,9.8,3.1,2.9,3.1,mitre,Analyzed
CVE-2024-47821,7.2,6.8,2.3,3.1,9.1,3.1,github,Analyzed
CVE-2024-58266,7.0,6.6,9.8,3.1,3.2,3.1,mitre,Analyzed
CVE-2025-53014,6.5,6.1,9.8,3.1,3.7,3.1,github,Modified
CVE-2025-57807,6.4,6.0,9.8,3.1,3.8,3.1,github,Modified
CVE-2024-38369,6.1,5.7,4.3,3.1,10.0,3.1,github,Modified
CVE-2025-1412,6.1,5.7,8.8,3.1,3.1,3.1,mattermost,Analyzed
CVE-2025-46653,6.1,5.7,8.8,3.1,3.1,3.1,mitre,Analyzed
CVE-2024-42447,6.0,5.6,9.8,3.1,4.2,3.1,apache,Modified
CVE-2024-39887,5.9,5.5,9.8,3.1,4.3,3.1,apache,Modified
CVE-2024-42850,5.9,5.5,9.8,3.1,4.3,3.1,mitre,Analyzed
CVE-2026-33529,5.9,5.5,8.8,3.1,3.3,3.1,github,Analyzed
CVE-2025-31116,5.8,5.4,9.8,3.1,4.4,3.1,github,Analyzed
CVE-2024-32037,5.7,5.3,0.0,3.1,5.3,3.1,github,Awaiting Analysis
CVE-2024-53861,5.7,5.3,7.5,3.1,2.2,3.1,github,Analyzed
CVE-2025-32021,5.7,5.3,7.5,3.1,2.2,3.1,github,Analyzed
CVE-2025-47241,5.7,5.3,4.0,3.1,9.3,3.1,mitre,Awaiting Analysis
CVE-2025-54314,5.5,5.1,2.8,3.1,7.9,3.1,mitre.org,Awaiting Analysis
CVE-2024-5798,5.3,4.9,7.5,3.1,2.6,3.1,hashicorp,Modified
CVE-2024-47825,5.1,4.7,8.7,3.1,4.0,3.1,github,Analyzed
CVE-2023-53159,5.0,4.6,9.1,3.1,4.5,3.1,mitre,Analyzed
CVE-2024-58261,5.0,4.6,7.5,3.1,2.9,3.1,mitre,Analyzed
CVE-2025-48754,5.0,4.6,7.5,3.1,2.9,3.1,mitre,Analyzed
CVE-2024-34107,4.9,4.5,9.8,3.1,5.3,3.1,adobe,Modified
CVE-2024-47819,4.9,4.5,8.7,3.1,4.2,3.1,github,Analyzed
