cve_id,ghsa_id,ghsa_url,github_cvss_score,github_cvss_version,nvd_status,assigning_cna
CVE-2022-50807,GHSA-r7vr-wg3f-8hr9,https://github.com/advisories/GHSA-r7vr-wg3f-8hr9,9.8,3.1,Rejected,vulncheck
CVE-2024-10096,GHSA-xqgj-r6xv-9cw4,https://github.com/advisories/GHSA-xqgj-r6xv-9cw4,9.8,3.0,Rejected,huntr
CVE-2024-36610,GHSA-cg28-v4wq-whv5,https://github.com/advisories/GHSA-cg28-v4wq-whv5,9.8,3.1,Rejected,mitre
CVE-2024-57000,GHSA-xg2h-7cxj-3gvh,https://github.com/advisories/GHSA-xg2h-7cxj-3gvh,9.8,3.1,Rejected,mitre
CVE-2024-7804,GHSA-4vmg-rw8f-92f9,https://github.com/advisories/GHSA-4vmg-rw8f-92f9,9.8,3.0,Rejected,huntr
CVE-2024-9052,GHSA-pgr7-mhp5-fgjp,https://github.com/advisories/GHSA-pgr7-mhp5-fgjp,9.8,3.0,Rejected,huntr
CVE-2025-0655,GHSA-gjxm-x497-4h6h,https://github.com/advisories/GHSA-gjxm-x497-4h6h,9.8,3.0,Rejected,huntr
CVE-2021-47853,GHSA-86gh-c8r8-xwhq,https://github.com/advisories/GHSA-86gh-c8r8-xwhq,8.8,3.1,Rejected,vulncheck
CVE-2024-36811,GHSA-cr7j-rwmv-vgch,https://github.com/advisories/GHSA-cr7j-rwmv-vgch,8.8,3.1,Rejected,mitre
CVE-2025-8022,GHSA-4j66-8f4r-3pjx,https://github.com/advisories/GHSA-4j66-8f4r-3pjx,8.8,3.1,Rejected,snyk
CVE-2024-7990,GHSA-gj27-76gq-5v3p,https://github.com/advisories/GHSA-gj27-76gq-5v3p,8.4,3.0,Rejected,huntr
CVE-2024-7039,GHSA-pqwr-phvv-v49f,https://github.com/advisories/GHSA-pqwr-phvv-v49f,8.3,3.0,Rejected,huntr
CVE-2024-8060,GHSA-ff5c-56m7-vc75,https://github.com/advisories/GHSA-ff5c-56m7-vc75,8.1,3.0,Rejected,huntr
CVE-2024-7806,GHSA-85jc-8h5p-8vw8,https://github.com/advisories/GHSA-85jc-8h5p-8vw8,8.0,3.0,Rejected,huntr
CVE-2024-4642,GHSA-cqh9-jfqr-h9jj,https://github.com/advisories/GHSA-cqh9-jfqr-h9jj,7.7,3.0,Rejected,huntr
CVE-2024-7959,GHSA-x757-hv69-jr45,https://github.com/advisories/GHSA-x757-hv69-jr45,7.7,3.0,Rejected,huntr
CVE-2024-7053,GHSA-43g4-487m-5q6m,https://github.com/advisories/GHSA-43g4-487m-5q6m,7.6,3.0,Rejected,huntr
CVE-2024-12534,GHSA-g3mx-83mp-3rwc,https://github.com/advisories/GHSA-g3mx-83mp-3rwc,7.5,3.0,Rejected,huntr
CVE-2024-12537,GHSA-chf7-q7m5-fq92,https://github.com/advisories/GHSA-chf7-q7m5-fq92,7.5,3.0,Rejected,huntr
CVE-2024-4109,GHSA-22c5-cpvr-cfvq,https://github.com/advisories/GHSA-22c5-cpvr-cfvq,7.5,3.1,Rejected,redhat
CVE-2024-47220,GHSA-6f62-3596-g6w7,https://github.com/advisories/GHSA-6f62-3596-g6w7,7.5,3.1,Rejected,mitre
CVE-2024-7036,GHSA-wcwp-9rcp-jvfg,https://github.com/advisories/GHSA-wcwp-9rcp-jvfg,7.5,3.0,Rejected,huntr
CVE-2025-54371,GHSA-rm8p-cx58-hcvx,https://github.com/advisories/GHSA-rm8p-cx58-hcvx,7.5,3.1,Rejected,github
CVE-2025-63700,GHSA-3mm3-wfpv-q85g,https://github.com/advisories/GHSA-3mm3-wfpv-q85g,7.5,3.1,Rejected,mitre
CVE-2026-12243,GHSA-m42h-3232-vpv3,https://github.com/advisories/GHSA-m42h-3232-vpv3,7.5,3.1,Rejected,huntr
CVE-2026-4427,GHSA-x6gf-mpr2-68h6,https://github.com/advisories/GHSA-x6gf-mpr2-68h6,7.5,3.1,Rejected,redhat
CVE-2026-40500,GHSA-gmwr-9j4p-96vm,https://github.com/advisories/GHSA-gmwr-9j4p-96vm,6.8,3.1,Rejected,vulncheck
